Date,first_prize,2digit,3digit_1,3digit_2,3digit_3,3digit_4
1998-05-16,840043,63,984,258,981,950
1998-06-01,820088,67,014,649,781,530
1998-06-16,858076,19,235,316,219,533
1998-07-01,595123,65,076,101,606,314
1998-07-16,599991,52,012,401,904,935
1998-08-01,748493,22,015,001,771,862
1998-08-16,081784,91,724,464,644,677
1998-09-01,872795,96,316,042,551,060
1998-09-16,065720,65,782,584,401,311
1998-10-01,987844,18,806,286,728,470
1998-10-16,261080,74,461,935,755,695
1998-11-01,920846,29,081,316,044,289
1998-11-16,270744,20,480,763,785,794
1998-12-01,836569,58,115,075,944,200
1998-12-16,181813,55,306,175,498,560
1998-12-30,464147,50,778,094,924,983
1999-01-16,190611,13,186,543,854,976
1999-02-01,342860,69,361,048,735,752
1999-02-16,307213,41,456,091,404,782
1999-03-02,660214,58,645,612,927,479
1999-03-16,577278,63,089,418,606,415
1999-04-01,479957,92,713,471,858,670
1999-04-16,625094,35,394,432,067,859
1999-05-02,691483,45,686,003,715,184
1999-05-16,618818,16,843,074,884,870
1999-06-01,077626,08,606,177,951,340
1999-06-16,278794,63,917,422,859,742
1999-07-01,386441,67,152,987,001,211
1999-07-16,070416,03,138,349,343,004
1999-08-01,056860,98,688,064,303,994
1999-08-16,340998,65,696,333,371,111
1999-09-01,591344,33,261,237,275,861
1999-09-16,807506,46,593,268,283,734
1999-10-01,830676,80,287,215,167,234
1999-10-16,410227,28,468,304,750,467
1999-11-01,561335,03,655,882,570,141
1999-11-16,764354,14,978,723,324,293
1999-12-01,669281,79,952,896,999,999
1999-12-16,139853,30,131,688,143,656
1999-12-30,051108,03,061,263,540,301
2000-01-16,442183,82,540,950,269,847
2000-02-01,530213,85,109,926,094,597
2000-02-16,729816,91,631,916,618,181
2000-03-01,997833,63,817,250,627,416
2000-03-16,164311,65,009,460,071,326
2000-04-01,963948,99,477,535,511,018
2000-04-16,836777,63,950,273,131,362
2000-05-02,070715,20,422,287,979,740
2000-05-16,009315,56,226,035,929,174
2000-06-01,592761,16,716,705,981,810
2000-06-16,825696,57,592,832,311,771
2000-07-01,674071,29,946,761,689,190
2000-07-16,931342,43,397,237,739,656
2000-08-01,267540,18,881,930,665,463
2000-08-16,459013,57,087,378,155,120
2000-09-01,437367,52,952,290,365,474
2000-09-16,046251,05,933,806,860,230
2000-10-01,290582,26,690,436,618,070
2000-10-16,620662,39,276,607,133,372
2000-11-01,093182,90,046,606,818,407
2000-11-16,565311,10,494,381,044,304
2000-12-01,887956,56,454,664,170,933
2000-12-16,969676,91,555,267,313,605
2000-12-30,119451,31,600,763,985,357
2001-01-16,737016,36,358,515,778,035
2001-02-01,454703,13,089,437,245,063
2001-02-16,621267,47,155,275,673,305
2001-03-01,836537,85,356,147,292,380
2001-03-16,633616,45,400,773,903,350
2001-04-01,640998,49,600,061,407,877
2001-04-16,140843,28,031,952,800,378
2001-05-02,205095,64,980,543,294,099
2001-05-16,091982,61,437,507,055,080
2001-06-01,113311,80,490,983,310,920
2001-06-16,762394,75,550,395,606,922
2001-07-01,107987,34,364,296,985,546
2001-07-16,820715,50,250,171,282,767
2001-08-01,180597,11,602,086,864,848
2001-08-16,690135,10,217,717,900,588
2001-09-01,119067,14,145,294,218,532
2001-09-16,616426,82,995,806,291,089
2001-10-01,104154,15,827,303,287,058
2001-10-16,975005,48,070,626,110,670
2001-11-01,683472,52,392,081,694,431
2001-11-16,685706,74,339,976,600,275
2001-12-01,737022,49,713,461,773,925
2001-12-16,224675,19,887,538,363,902
2001-12-30,729367,64,873,974,611,107
2002-01-16,709670,14,895,116,434,109
2002-02-01,633270,40,956,414,621,859
2002-02-16,330853,92,167,820,088,769
2002-03-01,805590,55,748,715,434,856
2002-03-16,659152,04,370,066,707,943
2002-04-01,990543,57,971,430,225,456
2002-04-16,522630,37,586,949,997,085
2002-05-02,590664,56,764,739,695,503
2002-05-16,598714,76,765,725,394,508
2002-06-01,161149,02,879,643,328,485
2002-06-16,073261,07,472,156,662,845
2002-07-01,481447,24,195,517,763,802
2002-07-16,340264,69,304,632,539,034
2002-08-01,493438,88,269,645,544,529
2002-08-16,120108,57,705,173,953,147
2002-09-01,994200,51,126,799,046,395
2002-09-16,156050,85,056,889,823,169
2002-10-01,802505,72,864,567,358,189
2002-10-16,428641,51,150,401,244,177
2002-11-01,505498,25,341,297,747,383
2002-11-16,915344,55,191,843,789,906
2002-12-01,968422,37,298,088,337,809
2002-12-16,019682,67,616,312,075,849
2002-12-30,895196,95,191,116,689,609
2003-01-16,977085,06,441,535,519,262
2003-02-01,456370,94,661,429,806,229
2003-02-17,455578,61,805,496,980,857
2003-03-01,441022,42,322,026,707,628
2003-03-16,653062,64,820,208,702,038
2003-04-01,933164,86,467,863,732,902
2003-04-16,892525,21,933,906,796,823
2003-05-02,135603,12,498,870,386,522
2003-05-16,552784,20,608,048,699,362
2003-06-01,766066,36,083,523,354,686
2003-06-16,389872,29,605,995,922,006
